tenure,remote_caring_hrs,productivity_remote,birth_year,industry,expect_employer_changes,expect_more_choice,easy_permission,post_covid_preference,is_manager,response_id,office_working_hrs,remote_working_hrs,household_type,office_personal_hrs,office_caring_hrs,remote_time_last_year,preferred_remote_last_year,gender,occupation,expect_employer_encourage,org_size,remote_personal_hrs,org_prepared,remote_commute_hrs,org_encouraged_remote,remote_was_common,easy_collaboration,year,office_commute_hrs,location
Between 1 and 5 years,3.0,I’m 20% more productive when working remotely,1974,Financial and Insurance,Somewhat likely,Neither unlikely or likely,Somewhat agree,100% - All of my time,No,115,9.0,10.0,Couple with dependent children,2.0,3.0,100% - I spent all of my time remote working,100% - All of my time,Male,Managers - Specialist Managers,Neither unlikely or likely,More than 200,3.0,Strongly agree,0.0,Neither agree nor disagree,Strongly agree,Strongly agree,2021,4.0,Regional
More than 5 years,4.0,I’m 30% more productive when working remotely,1986,Retail Trade,Somewhat likely,Neither unlikely or likely,Somewhat agree,30%,Yes,116,4.0,7.0,Multiple family household,6.0,4.0,30%,20%,Female,"Managers - Hospitality, Retail and Service Managers",Somewhat likely,More than 200,2.0,Neither agree nor disagree,9.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,2021,6.0,Metro
More than 5 years,4.0,I’m 20% more productive when working remotely,1977,Health Care and Social Assistance,Very likely,Neither unlikely or likely,Strongly agree,20%,Yes,117,8.0,8.0,Couple with dependent children,4.0,4.0,10%,20%,Female,Professionals - Health Professionals,Somewhat likely,More than 200,4.0,Somewhat agree,1.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,1.0,Metro
More than 5 years,7.0,I’m 10% less productive when working remotely,1989,Other Services,Somewhat likely,Somewhat likely,Somewhat agree,70%,No,118,7.0,7.0,Single person,0.0,8.0,100% - I spent all of my time remote working,100% - All of my time,Male,Clerical and administrative workers - General Clerical Workers,Neither unlikely or likely,More than 200,0.0,Somewhat agree,0.0,Somewhat disagree,Somewhat agree,Somewhat agree,2021,2.0,Metro
Between 1 and 5 years,4.0,I’m 30% less productive when working remotely,1983,Information Media and Telecommunications,Neither unlikely or likely,Neither unlikely or likely,Strongly agree,70%,Yes,119,4.0,5.0,Couple with dependent children,5.0,5.0,70%,70%,Male,Professionals - ICT Professionals,Very likely,More than 200,4.0,Somewhat agree,5.0,Neither agree nor disagree,Strongly agree,Strongly agree,2021,4.0,Metro
Between 1 and 5 years,5.0,I’m 50% more productive when working remotely (or more),1999,Public Administration and Safety,Somewhat likely,Very likely,Strongly agree,80%,No,120,8.0,8.0,Couple with dependent children,3.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Female,Clerical and administrative workers - Clerical and Office Support Workers,Neither unlikely or likely,More than 200,3.7,Strongly agree,0.3,Strongly agree,Strongly agree,Strongly agree,2021,1.0,Metro
Between 1 and 5 years,5.0,My productivity is about same when I work remotely,1981,Information Media and Telecommunications,Very likely,Neither unlikely or likely,Somewhat disagree,I would prefer not to work remotely,No,121,8.0,8.0,Single person,4.0,5.0,30%,90%,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat unlikely,More than 200,5.0,Somewhat agree,0.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2021,1.0,Metro
Between 6 and 12 months,3.0,I’m 20% more productive when working remotely,1971,Education and Training,Very likely,Very likely,Strongly agree,100% - All of my time,Yes,122,9.0,10.0,Couple with dependent children,2.0,2.0,100% - I spent all of my time remote working,100% - All of my time,Male,"Managers - Chief Executives, General Managers and Legislators",Very likely,More than 200,4.0,Strongly agree,0.0,Strongly agree,Strongly agree,Neither agree nor disagree,2021,5.0,Metro
Between 6 and 12 months,4.5,I’m 50% more productive when working remotely (or more),1986,Education and Training,Somewhat likely,Somewhat likely,Strongly agree,80%,Yes,123,7.0,9.0,Couple with dependent children,3.0,4.0,80%,80%,Female,Managers - Specialist Managers,Somewhat likely,More than 200,2.0,Strongly agree,0.5,Strongly agree,Strongly agree,Strongly agree,2021,2.0,Metro
More than 5 years,4.0,I’m 20% more productive when working remotely,1981,Financial and Insurance,Somewhat likely,Somewhat likely,Somewhat agree,50% - About half of my time,Yes,124,8.0,8.0,Couple with dependent children,2.0,2.0,50% - I spent about half of my time remote working,60%,Male,Managers - Specialist Managers,Very likely,Between 20 and 199,2.0,Somewhat agree,2.0,Strongly agree,Somewhat agree,Somewhat agree,2021,2.0,Metro
More than 5 years,3.0,I’m 10% less productive when working remotely,1978,Accommodation and Food,Very likely,Somewhat likely,Strongly agree,10%,No,125,2.0,8.0,Couple with dependent children,5.0,8.0,10%,10%,Male,"Managers - Hospitality, Retail and Service Managers",Somewhat likely,Between 20 and 199,4.0,Somewhat agree,1.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,1.0,Regional
Between 1 and 5 years,4.5,I’m 50% more productive when working remotely (or more),1995,Health Care and Social Assistance,Somewhat likely,Neither unlikely or likely,Somewhat agree,70%,Yes,126,7.5,7.5,Group household,4.0,4.5,50% - I spent about half of my time remote working,50% - About half of my time,Male,"Managers - Hospitality, Retail and Service Managers",Neither unlikely or likely,Between 20 and 199,4.0,Neither agree nor disagree,2.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,2.0,Metro
Between 1 and 5 years,5.0,I’m 20% more productive when working remotely,1972,Information Media and Telecommunications,Very likely,Somewhat likely,Neither agree nor disagree,40%,Yes,127,8.0,8.0,Couple with dependent children,1.0,4.0,Less than 10% of my time,20%,Male,Managers - Specialist Managers,Very likely,More than 200,2.0,Neither agree nor disagree,1.0,Strongly agree,Somewhat disagree,Strongly agree,2021,3.0,Metro
Between 1 and 5 years,5.0,I’m 10% less productive when working remotely,1992,Manufacturing,Very unlikely,Very unlikely,Neither agree nor disagree,10%,Yes,128,5.0,5.0,Couple with dependent children,5.0,5.0,10%,10%,Male,Machinery operators and drivers - Storepersons,Very unlikely,More than 200,5.0,Neither agree nor disagree,5.0,Neither agree nor disagree,Somewhat agree,Neither agree nor disagree,2021,2.0,Metro
Between 1 and 5 years,8.0,I’m 20% more productive when working remotely,1980,Retail Trade,Somewhat likely,Very likely,Strongly agree,60%,Yes,129,8.0,2.0,Multiple family household,3.0,3.0,70%,70%,Male,"Managers - Chief Executives, General Managers and Legislators",Very likely,Between 20 and 199,4.0,Neither agree nor disagree,2.0,Strongly agree,Somewhat agree,Neither agree nor disagree,2021,2.0,Metro
More than 5 years,4.0,I’m 50% more productive when working remotely (or more),1979,Financial and Insurance,Somewhat likely,Somewhat likely,Somewhat disagree,50% - About half of my time,Yes,130,8.0,7.5,Couple with no dependent children,3.0,2.0,50% - I spent about half of my time remote working,50% - About half of my time,Male,Managers - Specialist Managers,Somewhat likely,More than 200,3.5,Somewhat disagree,0.0,Somewhat agree,Somewhat disagree,Somewhat disagree,2021,3.0,Metro
Between 1 and 5 years,6.0,I’m 30% more productive when working remotely,1992,Health Care and Social Assistance,Neither unlikely or likely,Neither unlikely or likely,Somewhat agree,20%,No,131,9.0,8.0,Multiple family household,,6.0,40%,20%,Female,Clerical and administrative workers - General Clerical Workers,Neither unlikely or likely,More than 200,1.0,Neither agree nor disagree,1.0,Somewhat disagree,Somewhat agree,Neither agree nor disagree,2021,1.0,Metro
More than 5 years,5.0,I’m 20% more productive when working remotely,1968,"Professional, Scientific and Technical",Very likely,Very likely,Strongly agree,100% - All of my time,No,132,7.5,8.5,Couple with dependent children,3.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Male,Professionals - ICT Professionals,Very likely,More than 200,3.0,Strongly agree,0.0,Strongly agree,Strongly agree,Strongly agree,2021,2.0,Metro
Between 1 and 5 years,6.0,I’m 10% less productive when working remotely,1999,Retail Trade,Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,I would prefer not to work remotely,No,133,8.0,8.0,Multiple family household,,5.0,Rarely or never,I would not have preferred to work remotely,Male,Sales workers - Sales Assistants and Salespersons,Neither unlikely or likely,More than 200,,Neither agree nor disagree,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,2.0,Regional
Between 1 and 5 years,5.0,My productivity is about same when I work remotely,1998,Administrative and Support,Very unlikely,Very unlikely,Somewhat agree,100% - All of my time,No,134,8.0,8.0,Other one family household,3.0,2.0,90%,90%,Female,Sales workers - Sales Representatives and Agents,Very unlikely,More than 200,3.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,3.0,Metro
Between 1 and 5 years,6.0,I’m 50% more productive when working remotely (or more),1996,Financial and Insurance,Somewhat likely,Somewhat likely,Strongly agree,70%,No,135,8.5,8.0,Single person,1.0,5.0,100% - I spent all of my time remote working,100% - All of my time,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat likely,More than 200,1.0,Strongly agree,1.0,Strongly agree,Somewhat agree,Somewhat disagree,2021,1.5,Metro
More than 5 years,3.0,I’m 30% less productive when working remotely,1986,Education and Training,Somewhat unlikely,Somewhat unlikely,Somewhat disagree,20%,Yes,136,10.5,8.5,Single person,3.0,1.5,Less than 10% of my time,I would not have preferred to work remotely,Female,Professionals - Education Professionals,Somewhat unlikely,Between 20 and 199,3.0,Somewhat disagree,0.5,Strongly disagree,Strongly disagree,Somewhat disagree,2021,1.0,Metro
Between 1 and 5 years,1.0,I’m 20% more productive when working remotely,1980,Retail Trade,Somewhat likely,Very likely,Somewhat agree,60%,Yes,137,8.0,8.0,Couple with dependent children,2.0,1.0,70%,40%,Male,"Managers - Chief Executives, General Managers and Legislators",Very likely,Between 20 and 199,2.0,Strongly agree,5.0,Somewhat agree,Somewhat agree,Neither agree nor disagree,2021,5.0,Metro
Between 1 and 5 years,3.0,My productivity is about same when I work remotely,1999,Other Services,Very unlikely,Somewhat unlikely,Strongly agree,Less than 10% of my time,No,138,8.0,8.0,Couple with no dependent children,3.0,2.0,Rarely or never,Less than 10% of my time,Female,Sales workers - Sales Assistants and Salespersons,Very unlikely,Between 20 and 199,5.0,Strongly agree,0.5,Strongly disagree,Strongly disagree,Strongly agree,2021,3.0,Metro
More than 5 years,5.0,I’m 30% more productive when working remotely,1966,Public Administration and Safety,Very likely,Very likely,Somewhat agree,60%,No,139,7.5,7.5,Couple with dependent children,3.5,3.0,100% - I spent all of my time remote working,100% - All of my time,Male,"Professionals - Business, Human Resource and Marketing Professionals",Very likely,More than 200,3.5,Strongly agree,0.0,Neither agree nor disagree,Somewhat agree,Strongly agree,2021,2.0,Metro
Between 1 and 5 years,3.0,I’m 50% more productive when working remotely (or more),1993,Accommodation and Food,Somewhat likely,Somewhat unlikely,Somewhat agree,50% - About half of my time,Yes,140,6.0,6.0,Single person,2.0,4.0,20%,80%,Male,Technicians and trades workers - Food Trades Workers,Somewhat likely,Between 20 and 199,2.0,Somewhat agree,3.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,2.0,Metro
Between 6 and 12 months,3.0,I’m 30% more productive when working remotely,1981,Construction,Very likely,Somewhat likely,Somewhat agree,60%,Yes,141,5.0,3.0,Couple with dependent children,2.0,8.0,80%,90%,Male,"Managers - Chief Executives, General Managers and Legislators",Somewhat likely,More than 200,2.0,Neither agree nor disagree,8.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2021,1.0,Metro
Between 1 and 5 years,5.5,I’m 50% more productive when working remotely (or more),1993,Financial and Insurance,Neither unlikely or likely,Somewhat likely,Strongly agree,90%,No,142,7.0,8.0,Multiple family household,2.0,3.0,Less than 10% of my time,100% - All of my time,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat unlikely,More than 200,2.0,Somewhat agree,0.5,Somewhat agree,Strongly agree,Strongly agree,2021,4.0,Metro
Between 1 and 5 years,,I’m 20% more productive when working remotely,1990,Administrative and Support,Neither unlikely or likely,Somewhat likely,Neither agree nor disagree,80%,No,143,7.0,7.0,Couple with dependent children,7.0,,100% - I spent all of my time remote working,80%,Male,Clerical and administrative workers - Office Managers and Program Administrators,Somewhat likely,More than 200,7.0,Neither agree nor disagree,1.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,3.0,Metro
Between 6 and 12 months,2.0,I’m 50% less productive when working remotely (or worse),1999,Retail Trade,Very unlikely,Very unlikely,Strongly disagree,I would prefer not to work remotely,No,144,5.0,5.0,Couple with no dependent children,2.0,5.5,20%,I would not have preferred to work remotely,Female,Machinery operators and drivers - Storepersons,Very unlikely,More than 200,7.0,Strongly disagree,0.0,Strongly disagree,Neither agree nor disagree,Somewhat disagree,2021,1.5,Metro
Between 6 and 12 months,3.0,I’m 30% more productive when working remotely,1983,Education and Training,Somewhat likely,Somewhat likely,Somewhat agree,100% - All of my time,Yes,145,8.0,8.5,Couple with dependent children,3.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Male,Managers - Specialist Managers,Somewhat likely,Between 20 and 199,4.0,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2021,1.0,Metro
Between 1 and 5 years,5.5,I’m 30% less productive when working remotely,1995,"Rental, Hiring and Real Estate",Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,40%,No,146,8.0,8.0,Couple with no dependent children,4.0,3.0,40%,80%,Female,Clerical and administrative workers - Inquiry Clerks and Receptionists,Somewhat likely,More than 200,3.0,Neither agree nor disagree,0.5,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,2.0,Metro
Between 1 and 5 years,5.0,I’m 30% more productive when working remotely,1988,Health Care and Social Assistance,Very unlikely,Very unlikely,Strongly disagree,50% - About half of my time,Yes,147,8.0,8.0,Couple with dependent children,4.0,4.0,60%,60%,Female,Community and personal service workers - Health and Welfare Support Workers,Very unlikely,More than 200,2.5,Strongly disagree,0.5,Strongly disagree,Strongly disagree,Strongly agree,2021,2.0,Metro
Between 1 and 5 years,6.0,I’m 30% more productive when working remotely,1989,Construction,Somewhat likely,Somewhat likely,Neither agree nor disagree,80%,No,148,8.0,8.0,Couple with dependent children,1.0,5.0,40%,50% - About half of my time,Female,Labourers - Construction and Mining Labourers,Somewhat likely,Between 5 and 19,1.0,Somewhat disagree,1.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,2.0,Metro
More than 5 years,5.0,I’m 20% more productive when working remotely,1992,Retail Trade,Somewhat likely,Somewhat likely,Strongly agree,50% - About half of my time,Yes,149,8.0,8.0,Couple with dependent children,2.0,4.0,50% - I spent about half of my time remote working,50% - About half of my time,Male,Managers - Specialist Managers,Somewhat likely,Between 5 and 19,3.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,2.0,Metro
More than 5 years,3.0,I’m 30% more productive when working remotely,1991,"Professional, Scientific and Technical",Somewhat unlikely,Somewhat unlikely,Somewhat disagree,70%,Yes,150,8.0,8.0,Couple with dependent children,5.0,1.0,70%,100% - All of my time,Female,"Professionals - Business, Human Resource and Marketing Professionals",Somewhat unlikely,Between 20 and 199,5.0,Somewhat agree,0.0,Somewhat disagree,Somewhat agree,Neither agree nor disagree,2021,2.0,Metro
Between 1 and 5 years,3.0,I’m 50% more productive when working remotely (or more),1990,Manufacturing,Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,100% - All of my time,No,151,8.0,8.0,Couple with no dependent children,4.0,2.0,100% - I spent all of my time remote working,100% - All of my time,Female,"Professionals - Business, Human Resource and Marketing Professionals",Neither unlikely or likely,More than 200,4.0,Somewhat agree,2.0,Somewhat agree,Somewhat agree,Strongly agree,2021,2.0,Metro
More than 5 years,4.0,I’m 40% more productive when working remotely,1992,Construction,Somewhat likely,Very likely,Strongly agree,50% - About half of my time,No,152,5.0,6.0,Couple with dependent children,4.0,4.0,50% - I spent about half of my time remote working,50% - About half of my time,Female,Clerical and administrative workers - Office Managers and Program Administrators,Somewhat likely,Between 5 and 19,3.0,Somewhat agree,1.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,1.0,Regional
More than 5 years,2.0,I’m 20% more productive when working remotely,1979,"Professional, Scientific and Technical",Neither unlikely or likely,Somewhat unlikely,Somewhat agree,80%,No,153,8.0,10.0,Couple with dependent children,2.0,3.0,80%,100% - All of my time,Male,"Technicians and trades workers - Engineering, ICT and Science Technicians",Somewhat unlikely,Between 20 and 199,4.0,Strongly agree,0.0,Somewhat agree,Somewhat disagree,Somewhat agree,2021,3.0,Metro
Between 1 and 5 years,4.0,I’m 30% more productive when working remotely,1990,Retail Trade,Somewhat likely,Very likely,Somewhat agree,20%,Yes,154,6.0,8.0,Couple with dependent children,4.0,2.0,30%,20%,Male,Managers - Specialist Managers,Neither unlikely or likely,More than 200,2.0,Somewhat agree,6.0,Somewhat agree,Strongly agree,Strongly agree,2021,4.0,Metro
More than 5 years,5.0,I’m 10% more productive when working remotely,1982,Retail Trade,Somewhat likely,Somewhat unlikely,Neither agree nor disagree,30%,No,155,8.0,8.0,Couple with dependent children,1.0,3.0,30%,30%,Female,"Professionals - Business, Human Resource and Marketing Professionals",Neither unlikely or likely,More than 200,1.5,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat agree,2021,3.0,Metro
Between 1 and 5 years,3.0,I’m 10% more productive when working remotely,1980,Information Media and Telecommunications,Somewhat likely,Neither unlikely or likely,Somewhat disagree,20%,Yes,156,5.0,10.0,Couple with dependent children,6.0,3.0,10%,30%,Male,Managers - Specialist Managers,Somewhat likely,More than 200,6.0,Somewhat disagree,3.0,Neither agree nor disagree,Somewhat disagree,Somewhat disagree,2021,4.0,Metro
Between 1 and 5 years,7.0,I’m 40% more productive when working remotely,1990,Retail Trade,Very likely,Somewhat likely,Strongly agree,40%,Yes,157,4.0,4.0,Couple with dependent children,3.0,4.0,30%,20%,Male,Managers - Specialist Managers,Very likely,More than 200,5.0,Somewhat agree,5.0,Neither agree nor disagree,Somewhat agree,Strongly agree,2021,8.0,Metro
Between 1 and 5 years,2.5,I’m 10% less productive when working remotely,1999,Retail Trade,Very unlikely,Very unlikely,Neither agree nor disagree,I would prefer not to work remotely,Yes,158,10.0,10.0,Couple with no dependent children,2.5,3.5,Rarely or never,Less than 10% of my time,Female,"Managers - Hospitality, Retail and Service Managers",Very unlikely,More than 200,2.5,Neither agree nor disagree,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,0.25,Regional
Between 1 and 5 years,4.0,I’m 40% more productive when working remotely,1994,Financial and Insurance,Somewhat likely,Somewhat unlikely,Strongly agree,30%,Yes,159,8.0,6.0,Couple with dependent children,3.0,2.0,40%,40%,Male,"Professionals - Business, Human Resource and Marketing Professionals",Neither unlikely or likely,Between 20 and 199,5.0,Strongly agree,0.0,Somewhat agree,Somewhat agree,Strongly agree,2021,2.0,Metro
More than 5 years,4.0,I’m 30% more productive when working remotely,1985,Administrative and Support,Very likely,Very likely,Neither agree nor disagree,I would prefer not to work remotely,Yes,160,8.0,8.0,Couple with dependent children,3.0,5.0,40%,40%,Male,"Managers - Chief Executives, General Managers and Legislators",Very likely,Between 20 and 199,3.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,1.0,Metro
More than 5 years,11.0,I’m 40% more productive when working remotely,1977,Administrative and Support,Somewhat likely,Very likely,Somewhat agree,40%,No,161,7.0,5.0,Single person,1.0,5.0,60%,60%,Male,Clerical and administrative workers - Clerical and Office Support Workers,Neither unlikely or likely,Between 20 and 199,1.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,2.0,Metro
Between 1 and 5 years,3.5,I’m 50% more productive when working remotely (or more),1994,Health Care and Social Assistance,Very unlikely,Very unlikely,Strongly agree,30%,No,162,8.0,8.0,Couple with no dependent children,3.0,2.0,30%,50% - About half of my time,Female,"Professionals - Legal, Social and Welfare Professionals",Very unlikely,More than 200,3.0,Strongly agree,0.5,Strongly agree,Somewhat agree,Strongly agree,2021,2.0,Regional
Between 1 and 5 years,5.0,I’m 20% more productive when working remotely,1984,Arts and Recreation,Very unlikely,Somewhat unlikely,Neither agree nor disagree,10%,No,163,10.0,4.0,Group household,5.0,2.0,10%,20%,Female,Clerical and administrative workers - General Clerical Workers,Somewhat unlikely,Between 20 and 199,5.0,Neither agree nor disagree,10.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,5.0,Metro
More than 5 years,4.0,My productivity is about same when I work remotely,1984,Financial and Insurance,Somewhat likely,Somewhat likely,Somewhat agree,100% - All of my time,No,164,8.0,8.0,Couple with no dependent children,2.0,4.0,100% - I spent all of my time remote working,100% - All of my time,Male,"Managers - Chief Executives, General Managers and Legislators",Somewhat likely,More than 200,4.0,Somewhat agree,0.0,Somewhat agree,Somewhat agree,Somewhat agree,2021,2.0,Metro
More than 5 years,3.0,I’m 10% less productive when working remotely,1994,Financial and Insurance,Somewhat likely,Neither unlikely or likely,Strongly agree,20%,No,165,10.0,11.0,Couple with no dependent children,1.5,2.0,50% - I spent about half of my time remote working,40%,Male,"Professionals - Business, Human Resource and Marketing Professionals",Neither unlikely or likely,More than 200,1.5,Somewhat agree,0.5,Somewhat agree,Somewhat agree,Somewhat disagree,2021,2.5,Metro
Between 6 and 12 months,7.0,I’m 50% more productive when working remotely (or more),1995,Information Media and Telecommunications,Somewhat likely,Very likely,Strongly agree,50% - About half of my time,Yes,166,6.0,7.0,Couple with no dependent children,0.0,2.0,30%,60%,Male,Professionals - ICT Professionals,Very likely,Between 20 and 199,2.0,Strongly agree,2.0,Somewhat agree,Somewhat agree,Strongly agree,2021,2.0,Metro
Between 1 and 5 years,5.0,My productivity is about same when I work remotely,1995,Construction,Neither unlikely or likely,Neither unlikely or likely,Neither agree nor disagree,50% - About half of my time,Yes,167,10.0,10.0,Couple with no dependent children,2.0,3.0,50% - I spent about half of my time remote working,50% - About half of my time,Male,Technicians and trades workers - Construction Trades Workers,Neither unlikely or likely,Between 20 and 199,2.0,Neither agree nor disagree,0.0,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,2021,2.0,Metro
More than 5 years,3.0,I’m 30% less productive when working remotely,1990,Information Media and Telecommunications,Somewhat likely,Very likely,Somewhat agree,40%,No,168,8.0,6.0,Couple with dependent children,2.0,3.5,30%,60%,Female,Sales workers - Sales Support Workers,Somewhat likely,More than 200,5.0,Somewhat agree,0.0,Somewhat agree,Strongly agree,Somewhat agree,2021,1.5,Metro
More than 5 years,4.0,I’m 20% more productive when working remotely,1987,Arts and Recreation,Somewhat likely,Somewhat likely,Strongly agree,60%,Yes,169,8.0,8.0,Couple with no dependent children,3.0,3.0,30%,60%,Male,Managers - Specialist Managers,Somewhat likely,More than 200,4.0,Neither agree nor disagree,0.5,Strongly agree,Somewhat agree,Strongly agree,2021,1.0,Regional
More than 5 years,9.0,I’m 40% less productive when working remotely,1973,Public Administration and Safety,Somewhat likely,Somewhat unlikely,Somewhat disagree,20%,No,170,8.0,8.0,Single person,0.0,7.0,20%,40%,Male,"Professionals - Legal, Social and Welfare Professionals",Somewhat likely,More than 200,0.0,Neither agree nor disagree,0.0,Somewhat agree,Neither agree nor disagree,Somewhat agree,2021,2.0,Metro
Between 1 and 5 years,4.0,I’m 20% more productive when working remotely,1974,"Professional, Scientific and Technical",Neither unlikely or likely,Somewhat likely,Somewhat agree,100% - All of my time,No,171,8.0,9.0,Couple with dependent children,2.0,3.0,100% - I spent all of my time remote working,100% - All of my time,Male,Managers - Specialist Managers,Neither unlikely or likely,More than 200,3.0,Somewhat agree,0.0,Somewhat agree,Strongly agree,Strongly agree,2021,4.0,Regional
Between 1 and 5 years,4.0,My productivity is about same when I work remotely,1985,Construction,Neither unlikely or likely,Somewhat unlikely,Somewhat agree,70%,No,172,9.0,9.5,Single person,2.0,4.0,50% - I spent about half of my time remote working,70%,Male,"Managers - Chief Executives, General Managers and Legislators",Somewhat unlikely,More than 200,2.0,Somewhat agree,0.5,Neither agree nor disagree,Somewhat agree,Somewhat agree,2021,1.0,Metro
More than 5 years,6.0,My productivity is about same when I work remotely,1992,Construction,Very unlikely,Very unlikely,Somewhat disagree,80%,No,173,10.0,9.0,Couple with dependent children,2.0,1.5,Rarely or never,80%,Female,Clerical and administrative workers - Other Clerical and Administrative Workers,Very unlikely,More than 200,2.0,Somewhat agree,0.0,Strongly disagree,Somewhat disagree,Strongly agree,2021,3.5,Regional
More than 5 years,6.0,I’m 30% more productive when working remotely,1983,Financial and Insurance,Somewhat likely,Somewhat likely,Somewhat agree,80%,No,174,7.5,9.0,Single person,,6.5,80%,100% - All of my time,Female,Clerical and administrative workers - Other Clerical and Administrative Workers,Somewhat unlikely,More than 200,,Somewhat agree,0.0,Somewhat agree,Somewhat disagree,Somewhat agree,2021,1.0,Regional
More than 5 years,2.0,I’m 50% more productive when working remotely (or more),1976,Retail Trade,Neither unlikely or likely,Somewhat likely,Somewhat agree,50% - About half of my time,Yes,175,12.0,12.0,Single person,1.0,1.0,10%,50% - About half of my time,Female,"Managers - Chief Executives, General Managers and Legislators",Somewhat unlikely,Between 20 and 199,1.0,Strongly agree,2.0,Somewhat disagree,Strongly disagree,Somewhat disagree,2021,3.0,Metro
Between 1 and 5 years,5.0,I’m 10% less productive when working remotely,2001,Education and Training,Somewhat unlikely,Somewhat likely,Somewhat disagree,Less than 10% of my time,Yes,176,6.0,5.0,Multiple family household,6.0,1.0,50% - I spent about half of my time remote working,Less than 10% of my time,Female,Professionals - Education Professionals,Somewhat unlikely,Between 20 and 199,5.0,Somewhat disagree,1.0,Somewhat disagree,Somewhat disagree,Neither agree nor disagree,2021,3.0,Metro
Between 1 and 5 years,5.0,I’m 10% more productive when working remotely,1996,"Professional, Scientific and Technical",Very unlikely,Very unlikely,Somewhat agree,Less than 10% of my time,No,177,8.0,8.0,Single person,3.0,5.0,Less than 10% of my time,Less than 10% of my time,Male,Community and personal service workers - Protective Service Workers,Very unlikely,More than 200,2.0,Neither agree nor disagree,2.0,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,2021,2.0,Metro
Between 6 and 12 months,2.0,I’m 10% more productive when working remotely,1987,"Electricity, Gas, Water and Waste",Somewhat likely,Neither unlikely or likely,Strongly disagree,70%,No,178,8.0,8.0,Couple with no dependent children,7.0,6.0,30%,40%,Male,Professionals - Arts and Media Professionals,Somewhat likely,Between 5 and 19,2.0,Somewhat disagree,2.0,Somewhat disagree,Neither agree nor disagree,Somewhat agree,2021,2.0,Metro
More than 5 years,4.0,I’m 10% more productive when working remotely,1973,Public Administration and Safety,Neither unlikely or likely,Neither unlikely or likely,Somewhat agree,100% - All of my time,Yes,179,8.0,8.0,Couple with dependent children,3.0,3.0,100% - I spent all of my time remote working,80%,Male,"Professionals - Design, Engineering, Science and Transport Professionals",Neither unlikely or likely,Between 20 and 199,3.0,Somewhat agree,1.0,Neither agree nor disagree,Somewhat agree,Somewhat agree,2021,2.0,Metro
Between 1 and 5 years,4.0,My productivity is about same when I work remotely,1963,Other Services,Somewhat unlikely,Somewhat unlikely,Strongly disagree,I would prefer not to work remotely,No,180,8.0,10.0,Couple with dependent children,3.0,4.0,Rarely or never,I would not have preferred to work remotely,Male,"Professionals - Design, Engineering, Science and Transport Professionals",Somewhat unlikely,More than 200,2.0,Strongly disagree,0.0,Strongly disagree,Strongly disagree,Strongly disagree,2021,1.0,Metro
Between 1 and 5 years,3.5,I’m 30% more productive when working remotely,1997,Retail Trade,Neither unlikely or likely,Neither unlikely or likely,Strongly agree,40%,No,181,7.5,8.0,Other one family household,3.5,2.0,20%,40%,Female,Technicians and trades workers - Skilled Animal and Horticultural Workers,Neither unlikely or likely,Between 5 and 19,4.0,Neither agree nor disagree,0.5,Neither agree nor disagree,Somewhat agree,Somewhat agree,2021,3.0,Metro
